Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
0;[128, 128];16;0.9;0.0001;200;0;0.713;0.25692843793987113
1;[128, 128];16;0.9;0.0001;2000;0;0.7325;0.2729697785470033
2;[128, 128];16;0.9;0.0001;20000;0;0.8165000000000001;0.23131327963031723
3;[128, 128];16;0.9;0.001;200;0;0.8065;0.18907743857419318
4;[128, 128];16;0.9;0.001;2000;0;0.7314999999999999;0.24177641186297175
5;[128, 128];16;0.9;0.001;20000;0;0.8435;0.2611411921207036
6;[128, 128];16;0.9;0.01;200;0;0.6679999999999999;0.30102786877260684
7;[128, 128];16;0.9;0.01;2000;0;0.8869999999999999;0.23972437877232633
8;[128, 128];16;0.9;0.01;20000;0;0.76;0.2701131450172522
9;[128, 128];16;0.9;0.1;200;0;0.7695;0.28319065034786095
10;[128, 128];16;0.9;0.1;2000;0;0.6845;0.19938028989847517
11;[128, 128];16;0.9;0.1;20000;0;0.812;0.30158101914926794
12;[128, 128];16;0.99;0.0001;200;0;0.744;0.18588825795204078
13;[128, 128];16;0.99;0.0001;2000;0;0.893;0.26490249778613517
14;[128, 128];16;0.99;0.0001;20000;0;0.74;0.23056693412350154
15;[128, 128];16;0.99;0.001;200;0;0.693;0.2644197000561376
16;[128, 128];16;0.99;0.001;2000;0;0.6449999999999999;0.23271346234276077
17;[128, 128];16;0.99;0.001;20000;0;0.6900000000000001;0.25808052145707455
18;[128, 128];16;0.99;0.01;200;0;0.8675;0.27500757565322936
19;[128, 128];16;0.99;0.01;2000;0;0.8234999999999999;0.2033613368694584
20;[128, 128];16;0.99;0.01;20000;0;0.8779999999999999;0.23952731229096472
21;[128, 128];16;0.99;0.1;200;0;0.7685000000000001;0.2490320148985757
22;[128, 128];16;0.99;0.1;2000;0;0.7075;0.1647936420024888
23;[128, 128];16;0.99;0.1;20000;0;0.7530000000000001;0.15588813653101094
24;[128, 128];32;0.9;0.0001;200;0;0.8465;0.22375644000663855
25;[128, 128];32;0.9;0.0001;2000;0;0.807;0.3118332887938682
26;[128, 128];32;0.9;0.0001;20000;0;0.7715;0.242693794271254
27;[128, 128];32;0.9;0.001;200;0;0.7885;0.1815986111057999
28;[128, 128];32;0.9;0.001;2000;0;0.696;0.23129826823581906
29;[128, 128];32;0.9;0.001;20000;0;0.6910000000000001;0.35439149726444247
30;[128, 128];32;0.9;0.01;200;0;0.776;0.17740098960014597
31;[128, 128];32;0.9;0.01;2000;0;0.825;0.21381456139998195
32;[128, 128];32;0.9;0.01;20000;0;0.8975;0.27136742210106535
33;[128, 128];32;0.9;0.1;200;0;0.728;0.2679572934463832
34;[128, 128];32;0.9;0.1;2000;0;0.7114999999999999;0.22656921924902135
35;[128, 128];32;0.9;0.1;20000;0;0.8240000000000002;0.3334649740060999
36;[128, 128];32;0.99;0.0001;200;0;0.714;0.34808843065456163
37;[128, 128];32;0.99;0.0001;2000;0;0.6505;0.2824540277244737
38;[128, 128];32;0.99;0.0001;20000;0;0.7505;0.22058571022519918
39;[128, 128];32;0.99;0.001;200;0;0.6295;0.2943019047018064
40;[128, 128];32;0.99;0.001;2000;0;0.745;0.24009257473825477
41;[128, 128];32;0.99;0.001;20000;0;0.8065000000000001;0.20461413549519114
42;[128, 128];32;0.99;0.01;200;0;0.9019999999999999;0.1909217408026417
43;[128, 128];32;0.99;0.01;2000;0;0.8594999999999999;0.3104696263547997
44;[128, 128];32;0.99;0.01;20000;0;0.7384999999999999;0.16728302696660863
45;[128, 128];32;0.99;0.1;200;0;0.819;0.26407911272529255
46;[128, 128];32;0.99;0.1;2000;0;0.798;0.24403096342700265
47;[128, 128];32;0.99;0.1;20000;0;0.7535000000000001;0.27773938623585004
48;[128, 128];64;0.9;0.0001;200;0;0.8230000000000001;0.18175380173312594
