Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
0;[128, 128];16;0.9;0.0001;200;0;1.7434999999999998;0.45365215504588724
1;[128, 128];16;0.9;0.0001;2000;0;1.668;0.40304535173545364
2;[128, 128];16;0.9;0.0001;20000;0;2.019;0.4164919633745116
3;[128, 128];16;0.9;0.001;200;0;1.94;0.33613819909211284
4;[128, 128];16;0.9;0.001;2000;0;1.725;0.3331666249791536
5;[128, 128];16;0.9;0.001;20000;0;1.7959999999999998;0.23539328792469852
6;[128, 128];16;0.9;0.01;200;0;1.7169999999999999;0.2876745846727978
7;[128, 128];16;0.9;0.01;2000;0;1.861;0.3541484309030764
8;[128, 128];16;0.9;0.01;20000;0;1.7645;0.4067516987603671
9;[128, 128];16;0.9;0.1;200;0;1.9129999999999998;0.21243561115992038
10;[128, 128];16;0.9;0.1;2000;0;1.8205000000000002;0.24452277785288
11;[128, 128];16;0.9;0.1;20000;0;2.0295;0.32836674956856127
12;[128, 128];16;0.99;0.0001;200;0;1.8375000000000004;0.36292216796442733
13;[128, 128];16;0.99;0.0001;2000;0;1.862;0.3099121739389331
14;[128, 128];16;0.99;0.0001;20000;0;1.7430000000000003;0.43485118782815296
15;[128, 128];16;0.99;0.001;200;0;1.7045000000000001;0.4845871667948112
16;[128, 128];16;0.99;0.001;2000;0;1.8735;0.27798930834756136
17;[128, 128];16;0.99;0.001;20000;0;1.8744999999999998;0.23242023721411753
18;[128, 128];16;0.99;0.01;200;0;1.7455000000000003;0.22418308490061326
19;[128, 128];16;0.99;0.01;2000;0;1.7894999999999999;0.3655851474007116
20;[128, 128];16;0.99;0.01;20000;0;1.746;0.2812452468734163
21;[128, 128];16;0.99;0.1;200;0;1.9015;0.3724397788755773
22;[128, 128];16;0.99;0.1;2000;0;1.8545000000000003;0.244738522600028
23;[128, 128];16;0.99;0.1;20000;0;1.8455;0.2922560711278914
24;[128, 128];32;0.9;0.0001;200;0;1.7974999999999999;0.3458744955423379
25;[128, 128];32;0.9;0.0001;2000;0;1.873;0.2958340375578473
26;[128, 128];32;0.9;0.0001;20000;0;1.7205;0.32482003564367073
27;[128, 128];32;0.9;0.001;200;0;1.8664999999999998;0.33795997461895455
28;[128, 128];32;0.9;0.001;2000;0;1.8989999999999998;0.2103938106398464
29;[128, 128];32;0.9;0.001;20000;0;1.8575;0.3857334283903558
30;[128, 128];32;0.9;0.01;200;0;1.7355;0.45659640578718724
31;[128, 128];32;0.9;0.01;2000;0;1.846;0.4107499915466288
32;[128, 128];32;0.9;0.01;20000;0;1.8625;0.33109456520926334
33;[128, 128];32;0.9;0.1;200;0;1.8399999999999999;0.28996168329242705
34;[128, 128];32;0.9;0.1;2000;0;1.7690000000000001;0.3943898240742696
35;[128, 128];32;0.9;0.1;20000;0;2.0345;0.3623262035483741
36;[128, 128];32;0.99;0.0001;200;0;1.8;0.3232645975048923
37;[128, 128];32;0.99;0.0001;2000;0;1.8325000000000002;0.47322915520214237
38;[128, 128];32;0.99;0.0001;20000;0;1.7025;0.3017288149610139
39;[128, 128];32;0.99;0.001;200;0;1.8025000000000002;0.28759780944923763
40;[128, 128];32;0.99;0.001;2000;0;1.7145000000000004;0.43180789195608216
41;[128, 128];32;0.99;0.001;20000;0;1.829;0.2630673762450305
42;[128, 128];32;0.99;0.01;200;0;1.8275;0.2455860338048563
43;[128, 128];32;0.99;0.01;2000;0;1.7105000000000001;0.28987018167142037
44;[128, 128];32;0.99;0.01;20000;0;1.64;0.1922093765778466
45;[128, 128];32;0.99;0.1;200;0;1.906;0.19374668455944682
46;[128, 128];32;0.99;0.1;2000;0;1.8625;0.40290093902430496
47;[128, 128];32;0.99;0.1;20000;0;1.8780000000000001;0.1769525988004195
48;[128, 128];64;0.9;0.0001;200;0;1.8755;0.49493237472967516
49;[128, 128];64;0.9;0.0001;2000;0;1.89;0.5038352905464246
50;[128, 128];64;0.9;0.0001;20000;0;1.812;0.3577646650461103
51;[128, 128];64;0.9;0.001;200;0;1.7534999999999996;0.19509328253143138
52;[128, 128];64;0.9;0.001;2000;0;1.829;0.4338381674721065
53;[128, 128];64;0.9;0.001;20000;0;1.7730000000000001;0.38699124308209115
54;[128, 128];64;0.9;0.01;200;0;1.8444999999999996;0.2986771761543817
55;[128, 128];64;0.9;0.01;2000;0;1.6205000000000003;0.46204527195214684
56;[128, 128];64;0.9;0.01;20000;0;1.825;0.4875505671779653
57;[128, 128];64;0.9;0.1;200;0;1.8585;0.28859862554535265
58;[128, 128];64;0.9;0.1;2000;0;1.6760000000000002;0.4455009664536219
59;[128, 128];64;0.9;0.1;20000;0;1.8644999999999996;0.4111734562336327
60;[128, 128];64;0.99;0.0001;200;0;1.9150000000000003;0.3259089852499723
61;[128, 128];64;0.99;0.0001;2000;0;1.9125;0.19383913720173
62;[128, 128];64;0.99;0.0001;20000;0;1.863;0.32767022717631483
63;[128, 128];64;0.99;0.001;200;0;1.6625;0.25060205284252735
64;[128, 128];64;0.99;0.001;2000;0;2.057;0.2580396179745359
65;[128, 128];64;0.99;0.001;20000;0;1.6459999999999997;0.40591323648725175
66;[128, 128];64;0.99;0.01;200;0;1.7165000000000004;0.24237310540202722
67;[128, 128];64;0.99;0.01;2000;0;1.8755;0.45390558244835216
68;[128, 128];64;0.99;0.01;20000;0;1.8945;0.2769822497321203
69;[128, 128];64;0.99;0.1;200;0;1.656;0.30557595891474626
70;[128, 128];64;0.99;0.1;2000;0;1.9044999999999999;0.45149412448496434
71;[128, 128];64;0.99;0.1;20000;0;1.983;0.22852425108362864
72;[128, 256];16;0.9;0.0001;200;0;1.7900000000000003;0.44669154159591307
73;[128, 256];16;0.9;0.0001;2000;0;1.677;0.3932570547505933
74;[128, 256];16;0.9;0.0001;20000;0;1.8035;0.32791470774510184
75;[128, 256];16;0.9;0.001;200;0;1.8744999999999998;0.4139407499201358
76;[128, 256];16;0.9;0.001;2000;0;1.9729999999999996;0.2809033048340062
77;[128, 256];16;0.9;0.001;20000;0;1.8725;0.2894559072159733
78;[128, 256];16;0.9;0.01;200;0;2.0505;0.2627255644626579
79;[128, 256];16;0.9;0.01;2000;0;1.6804999999999999;0.31900409262439117
80;[128, 256];16;0.9;0.01;20000;0;1.8535;0.3017453856776898
81;[128, 256];16;0.9;0.1;200;0;1.8954999999999997;0.33824259867076995
82;[128, 256];16;0.9;0.1;2000;0;1.7455000000000003;0.2352947324338373
83;[128, 256];16;0.9;0.1;20000;0;1.8780000000000001;0.27542089003317566
